name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Danske Bank (DK),DK,Denmark,2020,487884852595,55847007749,42218548828,175507667068,929398459781,171587307972,33095055703,7147720167620,3980163690,686610491,274431318768,212520797196
DBS Bank (SG),SG,Singapore,2020,440966045872,75634928627,64317491026,70607313671,10299957848875,597081566023,15355651883,1294860649094,19318504420,587618695,216995246077,173401503119
Deutsche Bank (DE),DE,Germany,2020,1171278972240,125407000000,160950274828,134812571337,123595623000000,3856493423369,279256960000,31226503000000,47310438929,22590064724,629212000000,422391000000
DZ Bank (DE),DE,Germany,2020,497839320338,191444697691,213429449327,114583872894,6351239997933,214490818743,27956062254,1300189121295,6189532483,3484160304,77250861182,28856789126
Goldman Sachs (US),US,USA,2020,1255506886774,208687963594,77115149578,352758536561,10647625300671,1171560590588,381975389317,29065094953643,94999592582,21990872800,400059490052,317763833585
Hana Financial Group (KR),KR,Korea,2020,393824328001,30713259976,32985529456,49136412818,730586140575,184680618244,27304291386,365747957143,27982158906,7681861588,30923698601,23430185816
HSBC (GB),GB,United Kingdom,2020,2401636084707,182910530467,248919827930,321086936059,82845555417446,6967715756029,230887621335,18550831237261,95692614341,9168887626,1488076767095,1139845793454
Hua Xia (CN),CN,China,2020,475783058249,33328887371,65377999116,82932502007,11302933205220,648360857499,29141290005,86969772168,25487940067,1048550946,1226674972,2041882198
ICBC (CN),CN,China,2020,4402167778884,255053660285,358287761416,591198224225,59934629041394,2311041037851,246836415346,1069656858613,74447847690,25310065340,244983869738,275686705041
Industrial Bank (CN),CN,China,2020,1163448650723,134663061870,214505624412,179115033378,26816442523306,1621184370309,93882189749,870794002900,29888353514,4642193811,19958923024,37719497413
ING Bank (NL),NL,Netherlands,2020,1105642132749,130844541661,132816443481,159040219000,22517418293464,196362212000,40672793123,3644768000000,17511277364,4101000000,788178986000,633335518330
Intesa (IT),IT,Italy,2020,892263121004,152762656364,76423589350,132613010535,9897123390794,543187714000,36317690820,2713149986522,4860685906,3828927937,210399490175,112173449076
JP Morgan (US),US,USA,2020,3367364356646,264532638057,470174395147,616976611828,415329324628568,25563452868954,585289707729,36166821792779,184912395169,13381142538,741663271493,635298671979
Kookmin (KR),KR,Korea,2020,466054892201,55152815776,64277666340,64230283021,430130946396,296123454824,25320895786,323337699593,19170551002,5579205883,15629730948,9818918526
